start_block,source_lat,source_long,end_block,dest_lat,dest_long,distance,time
325052,37.80538171,-122.4161215,585042,37.80649517,-122.4147837,241,81
325052,37.80538171,-122.4161215,585051,37.80618035,-122.41621,253,84
325052,37.80538171,-122.4161215,585052,37.80630507,-122.4163066,247,83
325052,37.80538171,-122.4161215,585061,37.80598169,-122.4178118,206,55
325052,37.80538171,-122.4161215,585092,37.80545916,-122.4228314,628,157
325052,37.80538171,-122.4161215,612311,37.80590978,-122.4238599,831,171
325052,37.80538171,-122.4161215,612312,37.80577147,-122.4236748,813,167
325052,37.80538171,-122.4161215,616231,37.80621052,-122.4121047,404,81
325052,37.80538171,-122.4161215,616241,37.80721334,-122.4123079,521,116
325052,37.80538171,-122.4161215,616242,37.80697697,-122.4121077,492,108
325052,37.80538171,-122.4161215,664232,37.80733504,-122.4105069,656,150
325052,37.80538171,-122.4161215,681251,37.80587457,-122.4154028,125,39
325052,37.80538171,-122.4161215,681252,37.80595605,-122.4152811,132,41
325052,37.80538171,-122.4161215,681261,37.80677077,-122.4155864,226,77
325052,37.80538171,-122.4161215,681262,37.80686431,-122.4154657,235,80
325052,37.80538171,-122.4161215,681271,37.8076901,-122.4157685,329,119
325052,37.80538171,-122.4161215,681272,37.80774593,-122.4156437,334,120
325052,37.80538171,-122.4161215,847001,37.80846158,-122.4133791,754,214
325052,37.80538171,-122.4161215,847011,37.80825991,-122.415,461,170
325052,37.80538171,-122.4161215,847021,37.80806226,-122.4166063,463,175
325052,37.80538171,-122.4161215,847031,37.80784802,-122.418275,526,154
325052,37.80538171,-122.4161215,847032,37.80791541,-122.4185888,503,147
325052,37.80538171,-122.4161215,847041,37.80767803,-122.4196671,508,152
325052,37.80538171,-122.4161215,847042,37.80775397,-122.4197853,517,154
325052,37.80538171,-122.4161215,847052,37.80760209,-122.4211753,602,173
326022,37.80764233,-122.4131553,325031,37.80565077,-122.4127691,352,95
326022,37.80764233,-122.4131553,325032,37.80579612,-122.4127962,352,94
326022,37.80764233,-122.4131553,325041,37.8054486,-122.4143769,495,117
326022,37.80764233,-122.4131553,325042,37.80560853,-122.4142738,484,116
326022,37.80764233,-122.4131553,325052,37.80538171,-122.4161215,648,143
326022,37.80764233,-122.4131553,326022,37.80764233,-122.4131553,0,0
326022,37.80764233,-122.4131553,326032,37.8074316,-122.4147983,146,45
326022,37.80764233,-122.4131553,326042,37.80722541,-122.4164831,296,80
326022,37.80764233,-122.4131553,326052,37.8070172,-122.41811,442,115
326022,37.80764233,-122.4131553,326061,37.80664454,-122.4201217,622,167
326022,37.80764233,-122.4131553,326062,37.80684068,-122.4194976,564,151
326022,37.80764233,-122.4131553,326071,37.8064826,-122.4213478,731,202
326022,37.80764233,-122.4131553,326072,37.80659877,-122.4215404,746,205
326022,37.80764233,-122.4131553,326081,37.80627288,-122.4229969,880,244
326022,37.80764233,-122.4131553,326082,37.80639308,-122.4230547,880,244
326022,37.80764233,-122.4131553,363121,37.80554717,-122.4179204,657,174
326022,37.80764233,-122.4131553,363122,37.80575588,-122.4179054,643,171
326022,37.80764233,-122.4131553,363131,37.80635184,-122.4191068,636,172
326022,37.80764233,-122.4131553,363132,37.80660028,-122.4191531,615,168
326022,37.80764233,-122.4131553,472281,37.8071555,-122.4207383,716,199
326022,37.80764233,-122.4131553,502262,37.80570811,-122.4169221,526,148
326022,37.80764233,-122.4131553,502271,37.80661034,-122.417237,422,117
326022,37.80764233,-122.4131553,502282,37.80742708,-122.4172631,404,112
326022,37.80764233,-122.4131553,542301,37.80598019,-122.4221721,858,239
326022,37.80764233,-122.4131553,542302,37.8060169,-122.4220439,858,239
326022,37.80764233,-122.4131553,546271,37.8060858,-122.4188171,604,173
326022,37.80764233,-122.4131553,546272,37.80659525,-122.418788,548,153
326022,37.80764233,-122.4131553,546273,37.80663197,-122.4189288,543,152
326022,37.80764233,-122.4131553,546281,37.80733253,-122.4190696,565,159
326022,37.80764233,-122.4131553,546282,37.80707856,-122.4188845,534,150
326022,37.80764233,-122.4131553,562231,37.80542547,-122.4136431,309,117
326022,37.80764233,-122.4131553,562241,37.80607272,-122.4137558,237,91
326022,37.80764233,-122.4131553,562242,37.80603903,-122.413613,242,93
326022,37.80764233,-122.4131553,562252,37.80702625,-122.4138161,131,51
326022,37.80764233,-122.4131553,562261,37.80786914,-122.4141194,117,54
326022,37.80764233,-122.4131553,562262,37.8079652,-122.4140042,126,57
326022,37.80764233,-122.4131553,585012,37.80714896,-122.4095605,405,91
326022,37.80764233,-122.4131553,585022,37.80694126,-122.4112306,259,67
326022,37.80764233,-122.4131553,585031,37.80660179,-122.4128641,240,62
326022,37.80764233,-122.4131553,585032,37.80672601,-122.4129652,247,63
326022,37.80764233,-122.4131553,585041,37.80638202,-122.4145962,252,81
326022,37.80764233,-122.4131553,585042,37.80649517,-122.4147837,267,84
326022,37.80764233,-122.4131553,585051,37.80618035,-122.41621,396,110
326022,37.80764233,-122.4131553,585052,37.80630507,-122.4163066,402,112
326022,37.80764233,-122.4131553,585061,37.80598169,-122.4178118,546,150
